Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2001","2001","1000 USD","25010986","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2002","2002","1000 USD","25249603","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2003","2003","1000 USD","29330827","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2004","2004","1000 USD","33662218","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2005","2005","1000 USD","39413575","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2006","2006","1000 USD","42981392","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2007","2007","1000 USD","62010341","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2008","2008","1000 USD","60642701","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2009","2009","1000 USD","62871177","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2010","2010","1000 USD","82277030","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2011","2011","1000 USD","92763348","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2012","2012","1000 USD","91595218","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2013","2013","1000 USD","83710385","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2014","2014","1000 USD","92794654","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2015","2015","1000 USD","98930489","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2016","2016","1000 USD","104724615","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2017","2017","1000 USD","120831827","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2018","2018","1000 USD","122065836","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2019","2019","1000 USD","136134027","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2020","2020","1000 USD","128133547","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2021","2021","1000 USD","155196120","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2022","2022","1000 USD","161753018","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2023","2023","1000 USD","163286728","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2024","2024","1000 USD","179244679","E","Valeur estimée"
